Comparison	gene	log2FC
IFNg_UP_DOWN	TRIM16	-1.1838148596932
IFNg_UP_DOWN	TRIM16L	-1.18543394828458
IFNg_UP_DOWN	SLC47A1	-1.41731423242939
IFNg_UP_DOWN	SPAG5	-1.40974421758817
IFNg_UP_DOWN	EVI2A	-1.05994300643609
IFNg_UP_DOWN	TOP2A	-1.43114413843442
IFNg_UP_DOWN	PRR11	-1.53423492753651
IFNg_UP_DOWN	WFDC21P	-1.61389506959869
IFNg_UP_DOWN	BIRC5	-1.07788611066547
IFNg_UP_DOWN	TYMS	-1.00024563954095
IFNg_UP_DOWN	B4GALT6	-1.02770891321321
IFNg_UP_DOWN	RTTN	-1.33805225409032
IFNg_UP_DOWN	TRIB3	-1.33614961123092
IFNg_UP_DOWN	BMP2	-1.31420134558589
IFNg_UP_DOWN	PLCB1	-1.10162902465969
IFNg_UP_DOWN	TPX2	-1.18423629174338
IFNg_UP_DOWN	FAM83D	-1.38104147536565
IFNg_UP_DOWN	MYBL2	-1.44874077886014
IFNg_UP_DOWN	TOX2	-1.61684143789751
IFNg_UP_DOWN	UBE2C	-1.3422690739443
IFNg_UP_DOWN	KCNG1	-1.21570730318055
IFNg_UP_DOWN	AURKA	-1.03160110058203
IFNg_UP_DOWN	COL5A3	-1.04226108727181
IFNg_UP_DOWN	SPC24	-1.13690984928813
IFNg_UP_DOWN	TMEM38A	-1.18153779137113
IFNg_UP_DOWN	CLTCL1	-1.11084342683508
IFNg_UP_DOWN	HMOX1	-1.8580985217896
IFNg_UP_DOWN	RRP7BP	-1.15944605844098
IFNg_UP_DOWN	GTSE1	-1.24113866463315
IFNg_UP_DOWN	CERK	-1.17935190070736
IFNg_UP_DOWN	SH3BGR	-2.20449497761129
IFNg_UP_DOWN	SLC19A1	-1.38820414589303
IFNg_UP_DOWN	ISG15	3.89199795625443
IFNg_UP_DOWN	TNFRSF14	2.94322192441016
IFNg_UP_DOWN	SLC2A5	3.3218116538697
IFNg_UP_DOWN	AGTRAP	1.0959620021469
IFNg_UP_DOWN	MTHFR	1.08763088430106
IFNg_UP_DOWN	PDPN	1.26554761614859
IFNg_UP_DOWN	PLA2G2A	1.92820892686106
IFNg_UP_DOWN	CAMK2N1	1.38160852094927
IFNg_UP_DOWN	IFI6	4.14950030010571
